batter,bowler,Runs,Balls,Outs,StrikeRate
DJ Hussey,SB Bangar,8,13,0,61.53846153846154
DJ Hussey,SB Joshi,2,3,0,66.66666666666666
DJ Hussey,SB Styris,18,12,0,150.0
DJ Hussey,SJ Srivastava,5,3,0,166.66666666666669
DJ Hussey,SK Trivedi,35,28,4,125.0
DJ Hussey,SK Warne,17,16,0,106.25
DJ Hussey,SL Malinga,9,3,0,300.0
DJ Hussey,SM Pollock,9,6,1,150.0
DJ Hussey,SMSM Senanayake,7,5,0,140.0
DJ Hussey,SP Narine,6,9,1,66.66666666666666
DJ Hussey,SR Watson,0,2,1,0.0
DJ Hussey,ST Jayasuriya,5,7,1,71.42857142857143
DJ Hussey,SW Tait,4,3,0,133.33333333333331
DJ Hussey,Shakib Al Hasan,21,17,0,123.52941176470588
DJ Hussey,Sohail Tanvir,5,4,0,125.0
DJ Hussey,TP Sudhindra,16,6,0,266.66666666666663
DJ Hussey,UT Yadav,10,25,3,40.0
DJ Hussey,V Pratap Singh,7,7,1,100.0
DJ Hussey,V Sehwag,1,1,0,100.0
DJ Hussey,VR Aaron,8,14,0,57.14285714285714
DJ Hussey,VRV Singh,20,15,0,133.33333333333331
DJ Hussey,VY Mahesh,4,5,0,80.0
DJ Hussey,WPUJC Vaas,13,6,0,216.66666666666666
DJ Hussey,Y Venugopal Rao,13,11,0,118.18181818181819
DJ Hussey,YK Pathan,9,10,1,90.0
DJ Hussey,YS Chahal,11,7,0,157.14285714285714
DJ Hussey,Yuvraj Singh,3,3,0,100.0
DJ Hussey,Z Khan,7,8,1,87.5
DJ Jacobs,A Mishra,5,4,0,125.0
DJ Jacobs,A Singh,3,7,1,42.857142857142854
DJ Jacobs,AB Dinda,1,4,0,25.0
DJ Jacobs,AL Menaria,2,4,0,50.0
DJ Jacobs,BA Bhatt,2,3,0,66.66666666666666
DJ Jacobs,Bipul Sharma,0,1,1,0.0
DJ Jacobs,DL Vettori,2,3,0,66.66666666666666
DJ Jacobs,DP Nannes,0,2,1,0.0
DJ Jacobs,DT Christian,10,4,0,250.0
DJ Jacobs,DW Steyn,0,2,0,0.0
DJ Jacobs,I Sharma,10,6,1,166.66666666666669
DJ Jacobs,IK Pathan,0,5,0,0.0
DJ Jacobs,M Morkel,0,2,1,0.0
DJ Jacobs,NLTC Perera,4,4,0,100.0
DJ Jacobs,P Kumar,8,6,0,133.33333333333331
DJ Jacobs,PP Ojha,7,4,0,175.0
DJ Jacobs,R Vinay Kumar,1,3,0,33.33333333333333
DJ Jacobs,RP Singh,2,11,0,18.181818181818183
DJ Jacobs,RV Gomez,5,4,1,125.0
DJ Jacobs,S Nadeem,0,5,1,0.0
DJ Jacobs,SR Watson,10,5,0,200.0
DJ Jacobs,Z Khan,20,12,0,166.66666666666669
DJ Malan,AR Patel,4,8,1,50.0
DJ Malan,Avesh Khan,1,3,0,33.33333333333333
DJ Malan,I Sharma,12,5,0,240.0
DJ Malan,K Rabada,1,2,0,50.0
DJ Malan,Lalit Yadav,8,8,0,100.0
DJ Mitchell,A Nortje,1,1,0,100.0
DJ Mitchell,AD Russell,1,2,0,50.0
DJ Mitchell,AR Patel,14,10,1,140.0
DJ Mitchell,AS Joseph,4,3,0,133.33333333333331
DJ Mitchell,Arshdeep Singh,12,6,0,200.0
DJ Mitchell,B Kumar,9,6,0,150.0
DJ Mitchell,C Green,1,2,1,50.0
DJ Mitchell,CV Varun,4,5,0,80.0
DJ Mitchell,DR Sams,2,5,1,40.0
DJ Mitchell,G Coetzee,3,2,0,150.0
DJ Mitchell,GJ Maxwell,4,7,0,57.14285714285714
DJ Mitchell,HH Pandya,5,7,1,71.42857142857143
DJ Mitchell,HV Patel,8,8,1,100.0
DJ Mitchell,Harpreet Brar,4,1,0,400.0
DJ Mitchell,I Sharma,1,1,0,100.0
DJ Mitchell,JD Unadkat,13,10,1,130.0
DJ Mitchell,JJ Bumrah,9,7,0,128.57142857142858
DJ Mitchell,JR Hazlewood,0,7,1,0.0
DJ Mitchell,K Kartikeya,12,12,0,100.0
DJ Mitchell,K Rabada,4,2,0,200.0
DJ Mitchell,KA Pollard,2,3,0,66.66666666666666
DJ Mitchell,KK Ahmed,5,6,0,83.33333333333334
DJ Mitchell,KV Sharma,14,5,0,280.0
DJ Mitchell,Kartik Tyagi,13,6,0,216.66666666666666
DJ Mitchell,MJ Henry,4,5,0,80.0
DJ Mitchell,MM Sharma,8,9,1,88.88888888888889
DJ Mitchell,Mayank Dagar,3,8,0,37.5
DJ Mitchell,Mohammed Siraj,3,3,0,100.0
DJ Mitchell,Mohsin Khan,5,2,0,250.0
DJ Mitchell,N Burger,2,2,0,100.0
DJ Mitchell,Noor Ahmad,4,4,0,100.0
DJ Mitchell,PJ Cummins,19,10,0,190.0
DJ Mitchell,PWH de Silva,4,5,0,80.0
DJ Mitchell,R Ashwin,11,6,0,183.33333333333331
DJ Mitchell,RD Chahar,2,2,0,100.0
DJ Mitchell,RP Meredith,1,1,0,100.0
DJ Mitchell,Rashid Khan,25,12,0,208.33333333333334
DJ Mitchell,Rasikh Salam,13,8,0,162.5
DJ Mitchell,Ravi Bishnoi,2,2,0,100.0
DJ Mitchell,S Sandeep Warrier,20,9,0,222.22222222222223
DJ Mitchell,SH Johnson,9,8,0,112.5
DJ Mitchell,SM Curran,7,6,0,116.66666666666667
DJ Mitchell,SP Narine,17,8,1,212.5
DJ Mitchell,Sandeep Sharma,9,5,0,180.0
DJ Mitchell,Shahbaz Ahmed,18,10,0,180.0
DJ Mitchell,T Natarajan,9,10,1,90.0
DJ Mitchell,UT Yadav,8,6,0,133.33333333333331
DJ Mitchell,VG Arora,3,5,0,60.0
DJ Mitchell,YS Chahal,0,1,1,0.0
DJ Mitchell,Yash Dayal,0,2,1,0.0
DJ Mitchell,Yash Thakur,0,1,1,0.0
DJ Muthuswami,D Wiese,0,1,1,0.0
DJ Muthuswami,HV Patel,1,2,0,50.0
DJ Thornely,AB Agarkar,1,4,0,25.0
DJ Thornely,DNT Zoysa,2,4,0,50.0
DJ Thornely,I Sharma,0,2,0,0.0
DJ Thornely,P Kumar,0,3,0,0.0
DJ Thornely,PJ Sangwan,13,13,0,100.0
DJ Thornely,PP Ojha,2,2,0,100.0
DJ Thornely,R Bhatia,7,3,1,233.33333333333334
DJ Thornely,RP Singh,1,4,0,25.0
DJ Thornely,Shahid Afridi,3,7,1,42.857142857142854
DJ Thornely,VY Mahesh,10,8,0,125.0
DJ Thornely,Y Venugopal Rao,0,1,0,0.0
DJ Thornely,Z Khan,0,3,1,0.0
DJ Willey,AD Russell,7,8,0,87.5
DJ Willey,CV Varun,11,13,0,84.61538461538461
DJ Willey,SN Thakur,8,5,0,160.0
DJ Willey,SP Narine,7,14,1,50.0
DJ Willey,Sandeep Sharma,4,2,0,200.0
DJ Willey,Suyash Sharma,8,9,0,88.88888888888889
DJ Willey,UT Yadav,1,7,0,14.285714285714285
DJ Willey,VG Arora,7,4,0,175.0
DJ Willey,YS Chahal,0,2,2,0.0
DJG Sammy,A Ashish Reddy,0,1,1,0.0
DJG Sammy,A Chandila,0,2,0,0.0
DJG Sammy,AB Dinda,1,3,0,33.33333333333333
DJG Sammy,AR Patel,11,6,0,183.33333333333331
DJG Sammy,BMAJ Mendis,12,8,0,150.0
DJG Sammy,BW Hilfenhaus,10,7,0,142.85714285714286
DJG Sammy,CH Morris,5,2,0,250.0
DJG Sammy,CJ Anderson,10,6,1,166.66666666666669
DJG Sammy,DJ Bravo,6,4,1,150.0
DJG Sammy,DS Kulkarni,2,2,0,100.0
DJG Sammy,HV Patel,6,4,1,150.0
DJG Sammy,Iqbal Abdulla,15,4,0,375.0
DJG Sammy,J Botha,3,6,0,50.0
DJG Sammy,JP Faulkner,11,9,2,122.22222222222223
DJG Sammy,KK Cooper,28,17,0,164.70588235294116
DJG Sammy,KV Sharma,4,6,0,66.66666666666666
DJG Sammy,KW Richardson,0,1,1,0.0
DJG Sammy,L Balaji,4,5,1,80.0
DJG Sammy,MA Starc,3,2,0,150.0
DJG Sammy,MM Sharma,19,9,1,211.11111111111111
DJG Sammy,Mohammed Shami,2,2,0,100.0
DJG Sammy,P Negi,0,1,0,0.0
DJG Sammy,PP Chawla,3,10,1,30.0
DJG Sammy,PV Tambe,4,10,0,40.0
DJG Sammy,R Ashwin,0,2,0,0.0
DJG Sammy,R Bhatia,3,5,0,60.0
DJG Sammy,R Vinay Kumar,7,4,1,175.0
DJG Sammy,RA Jadeja,8,8,1,100.0
DJG Sammy,RS Bopara,2,2,0,100.0
DJG Sammy,S Nadeem,3,6,0,50.0
DJG Sammy,SK Raina,1,1,0,100.0
DJG Sammy,SK Trivedi,20,16,0,125.0
DJG Sammy,SP Narine,9,20,0,45.0
DJG Sammy,SR Watson,33,16,1,206.25
DJG Sammy,STR Binny,18,20,0,90.0
DJG Sammy,Shakib Al Hasan,19,13,2,146.15384615384613
DJG Sammy,UT Yadav,3,5,0,60.0
DJG Sammy,VR Aaron,7,2,0,350.0
DJG Sammy,YK Pathan,2,2,0,100.0
DJG Sammy,YS Chahal,1,2,0,50.0
DJM Short,A Mishra,3,6,0,50.0
DJM Short,Avesh Khan,2,2,0,100.0
DJM Short,B Kumar,4,5,1,80.0
DJM Short,CR Woakes,3,5,0,60.0
DJM Short,GJ Maxwell,18,4,1,450.0
DJM Short,JJ Bumrah,4,6,1,66.66666666666666
DJM Short,Kuldeep Yadav,2,7,0,28.57142857142857
DJM Short,LE Plunkett,8,5,0,160.0
DJM Short,N Rana,6,6,1,100.0
DJM Short,PP Chawla,4,10,0,40.0
DJM Short,R Ashwin,2,2,1,100.0
DJM Short,S Nadeem,7,4,1,175.0
DJM Short,SP Narine,6,5,0,120.0
DJM Short,Shivam Mavi,19,11,0,172.72727272727272
DJM Short,TA Boult,12,7,0,171.42857142857142
DJM Short,TK Curran,7,4,0,175.0
DJM Short,UT Yadav,1,2,0,50.0
DJM Short,Washington Sundar,2,6,0,33.33333333333333
DJM Short,YS Chahal,5,5,1,100.0
DL Chahar,A Mishra,1,1,0,100.0
DL Chahar,AJ Tye,4,3,0,133.33333333333331
DL Chahar,AR Patel,11,7,0,157.14285714285714
DL Chahar,HH Pandya,0,1,1,0.0
DL Chahar,I Udana,5,5,0,100.0
DL Chahar,JJ Bumrah,6,8,1,75.0
DL Chahar,KK Ahmed,2,2,0,100.0
DL Chahar,M Markande,0,1,1,0.0
DL Chahar,MR Marsh,1,2,0,50.0
DL Chahar,NM Coulter-Nile,0,1,0,0.0
DL Chahar,PJ Cummins,13,4,0,325.0
DL Chahar,R Ashwin,24,11,1,218.18181818181816
DL Chahar,RD Chahar,0,4,1,0.0
DL Chahar,SL Malinga,1,1,0,100.0
DL Chahar,SP Narine,1,1,0,100.0
DL Chahar,Sandeep Sharma,8,4,1,200.0
DL Chahar,Shakib Al Hasan,2,2,0,100.0
DL Chahar,TA Boult,1,2,0,50.0
DL Chahar,Z Khan,0,1,1,0.0
DL Vettori,A Kumble,1,1,0,100.0
DL Vettori,A Mithun,2,2,0,100.0
DL Vettori,AB Agarkar,9,3,0,300.0
DL Vettori,AB Dinda,3,4,0,75.0
DL Vettori,Azhar Mahmood,1,1,0,100.0
DL Vettori,DAJ Bracewell,2,3,0,66.66666666666666
DL Vettori,DE Bollinger,1,1,0,100.0
DL Vettori,DT Christian,1,2,0,50.0
DL Vettori,DW Steyn,1,3,0,33.33333333333333
DL Vettori,GJ Maxwell,0,1,1,0.0
DL Vettori,IK Pathan,7,7,1,100.0
DL Vettori,Iqbal Abdulla,1,1,0,100.0
DL Vettori,JH Kallis,7,4,0,175.0
DL Vettori,JR Hopes,7,7,0,100.0
DL Vettori,KP Appanna,1,2,0,50.0
DL Vettori,Kamran Khan,11,4,0,275.0
DL Vettori,L Balaji,9,9,1,100.0
DL Vettori,LR Shukla,1,1,0,100.0
DL Vettori,M Morkel,1,2,0,50.0
DL Vettori,MM Patel,3,9,1,33.33333333333333
DL Vettori,MS Gony,1,1,0,100.0
DL Vettori,P Kumar,3,1,0,300.0
DL Vettori,PP Chawla,2,4,1,50.0
DL Vettori,R Ashwin,0,1,1,0.0
DL Vettori,R Bhatia,12,5,0,240.0
DL Vettori,R Vinay Kumar,8,8,0,100.0
DL Vettori,RA Jadeja,7,4,0,175.0
DL Vettori,RE van der Merwe,1,1,0,100.0
DL Vettori,S Nadeem,1,1,0,100.0
DL Vettori,SK Trivedi,1,2,1,50.0
DL Vettori,SK Warne,4,4,0,100.0
DL Vettori,SP Narine,2,2,0,100.0
DL Vettori,TG Southee,2,2,0,100.0
DL Vettori,UT Yadav,3,4,0,75.0
DL Vettori,Y Nagar,0,2,0,0.0
DL Vettori,YK Pathan,4,7,0,57.14285714285714
DL Vettori,Yuvraj Singh,1,2,0,50.0
DM Bravo,DT Christian,2,4,0,50.0
DM Bravo,SN Thakur,4,1,0,400.0
DNT Zoysa,A Nehra,1,3,0,33.33333333333333
DNT Zoysa,CRD Fernando,9,4,0,225.0
DNT Zoysa,PP Chawla,1,1,0,100.0
DNT Zoysa,S Sreesanth,0,1,1,0.0
DP Conway,A Nortje,30,21,1,142.85714285714286
DP Conway,A Zampa,15,10,1,150.0
DP Conway,AK Markram,27,14,0,192.85714285714286
DP Conway,AR Patel,21,15,1,140.0
DP Conway,Akash Madhwal,1,2,1,50.0
DP Conway,Arshdeep Singh,7,5,0,140.0
DP Conway,Avesh Khan,9,5,0,180.0
DP Conway,B Kumar,17,21,0,80.95238095238095
DP Conway,C Sakariya,16,10,0,160.0
DP Conway,CV Varun,22,16,1,137.5
DP Conway,D Wiese,21,10,0,210.0
DP Conway,DG Nalkande,14,10,0,140.0
DP Conway,DR Sams,0,1,1,0.0
DP Conway,GJ Maxwell,21,17,0,123.52941176470588
DP Conway,HH Pandya,15,13,0,115.38461538461537
DP Conway,HV Patel,14,10,1,140.0
DP Conway,Harshit Rana,6,5,0,120.0
DP Conway,I Sharma,0,2,0,0.0
DP Conway,J Little,13,5,0,260.0
DP Conway,JC Archer,19,17,0,111.76470588235294
DP Conway,JO Holder,13,11,0,118.18181818181819
DP Conway,JP Behrendorff,0,4,1,0.0
DP Conway,JR Hazlewood,2,3,0,66.66666666666666
DP Conway,K Khejroliya,5,2,0,250.0
DP Conway,K Rabada,21,13,0,161.53846153846155
DP Conway,K Yadav,1,1,0,100.0
DP Conway,KH Pandya,14,6,0,233.33333333333334
DP Conway,KK Ahmed,32,26,1,123.07692307692308
DP Conway,KR Mayers,4,6,0,66.66666666666666
DP Conway,KR Sen,4,7,0,57.14285714285714
DP Conway,Kuldeep Yadav,43,20,0,215.0
DP Conway,LS Livingstone,11,4,0,275.0
DP Conway,Lalit Yadav,23,12,0,191.66666666666669
DP Conway,M Jansen,50,26,0,192.30769230769232
DP Conway,M Markande,14,12,0,116.66666666666667
DP Conway,M Prasidh Krishna,1,2,0,50.0
DP Conway,MA Wood,13,6,1,216.66666666666666
DP Conway,MM Sharma,4,4,0,100.0
DP Conway,MR Marsh,12,6,0,200.0
DP Conway,Mayank Dagar,8,7,0,114.28571428571428
DP Conway,Mohammed Shami,15,16,3,93.75
DP Conway,Mohammed Siraj,10,10,0,100.0
DP Conway,Noor Ahmad,23,23,1,100.0
DP Conway,PP Chawla,6,9,0,66.66666666666666
DP Conway,PWH de Silva,30,16,1,187.5
DP Conway,R Ashwin,5,8,1,62.5
DP Conway,R Goyal,13,10,0,130.0
DP Conway,RD Chahar,18,10,0,180.0
DP Conway,Rashid Khan,9,6,0,150.0
DP Conway,Ravi Bishnoi,3,2,0,150.0
DP Conway,SM Curran,17,12,0,141.66666666666669
DP Conway,SN Thakur,7,9,1,77.77777777777779
DP Conway,SP Narine,13,10,0,130.0
DP Conway,Sandeep Sharma,6,10,0,60.0
DP Conway,Shahbaz Ahmed,17,9,0,188.88888888888889
DP Conway,Shashank Singh,6,3,0,200.0
DP Conway,Shivam Mavi,2,5,0,40.0
DP Conway,Sikandar Raza,18,10,0,180.0
DP Conway,Suyash Sharma,6,8,0,75.0
DP Conway,T Natarajan,19,9,0,211.11111111111111
DP Conway,T Stubbs,5,5,0,100.0
DP Conway,TA Boult,12,6,0,200.0
DP Conway,UT Yadav,2,7,1,28.57142857142857
DP Conway,Umran Malik,16,13,1,123.07692307692308
DP Conway,VG Arora,12,11,0,109.09090909090908
DP Conway,Vijaykumar Vyshak,32,12,0,266.66666666666663
DP Conway,WD Parnell,13,6,0,216.66666666666666
DP Conway,Washington Sundar,5,8,0,62.5
DP Conway,YS Chahal,17,14,1,121.42857142857142
DP Conway,Yash Thakur,4,5,0,80.0
DP Nannes,Harbhajan Singh,0,3,1,0.0
DP Nannes,KA Pollard,1,2,0,50.0
DP Nannes,ST Jayasuriya,2,6,0,33.33333333333333
DP Nannes,WPUJC Vaas,1,2,0,50.0
DP Vijaykumar,A Mishra,1,1,0,100.0
DPMD Jayawardene,A Kumble,23,13,0,176.9230769230769
DPMD Jayawardene,A Mishra,20,15,0,133.33333333333331
DPMD Jayawardene,A Nehra,16,16,0,100.0
DPMD Jayawardene,A Singh,7,5,0,140.0
DPMD Jayawardene,A Symonds,9,12,1,75.0
DPMD Jayawardene,AA Chavan,5,5,1,100.0
DPMD Jayawardene,AB Agarkar,44,35,1,125.71428571428571
DPMD Jayawardene,AB Dinda,17,12,2,141.66666666666669
DPMD Jayawardene,AB McDonald,6,5,0,120.0
DPMD Jayawardene,AC Thomas,13,12,1,108.33333333333333
DPMD Jayawardene,AC Voges,4,4,0,100.0
DPMD Jayawardene,AD Mascarenhas,2,4,0,50.0
DPMD Jayawardene,AD Mathews,8,9,1,88.88888888888889
DPMD Jayawardene,AG Murtaza,10,11,1,90.9090909090909
DPMD Jayawardene,AP Dole,17,9,1,188.88888888888889
DPMD Jayawardene,AUK Pathan,4,4,0,100.0
DPMD Jayawardene,Azhar Mahmood,35,22,1,159.0909090909091
DPMD Jayawardene,B Kumar,10,14,0,71.42857142857143
DPMD Jayawardene,B Lee,37,24,1,154.16666666666669
DPMD Jayawardene,BA Bhatt,21,12,0,175.0
DPMD Jayawardene,BAW Mendis,1,1,0,100.0
DPMD Jayawardene,BJ Hodge,9,8,0,112.5
DPMD Jayawardene,BW Hilfenhaus,18,14,0,128.57142857142858
DPMD Jayawardene,Bipul Sharma,13,9,0,144.44444444444443
DPMD Jayawardene,CH Gayle,18,15,0,120.0
DPMD Jayawardene,CH Morris,4,6,1,66.66666666666666
DPMD Jayawardene,CJ McKay,7,7,0,100.0
DPMD Jayawardene,CRD Fernando,1,2,1,50.0
DPMD Jayawardene,D Kalyankrishna,26,10,0,260.0
DPMD Jayawardene,D Salunkhe,1,3,1,33.33333333333333
DPMD Jayawardene,DE Bollinger,6,9,0,66.66666666666666
DPMD Jayawardene,DJ Bravo,18,21,0,85.71428571428571
DPMD Jayawardene,DJ Hussey,19,8,0,237.5
DPMD Jayawardene,DL Vettori,8,17,3,47.05882352941176
DPMD Jayawardene,DNT Zoysa,5,2,0,250.0
DPMD Jayawardene,DP Nannes,11,7,0,157.14285714285714
DPMD Jayawardene,DR Smith,10,6,0,166.66666666666669
DPMD Jayawardene,DT Christian,1,2,1,50.0
DPMD Jayawardene,DW Steyn,24,35,0,68.57142857142857
DPMD Jayawardene,GD McGrath,1,2,0,50.0
DPMD Jayawardene,HV Patel,4,6,0,66.66666666666666
DPMD Jayawardene,Harbhajan Singh,48,38,2,126.3157894736842
DPMD Jayawardene,Harmeet Singh,9,8,0,112.5
DPMD Jayawardene,I Sharma,27,21,3,128.57142857142858
DPMD Jayawardene,IK Pathan,3,7,0,42.857142857142854
DPMD Jayawardene,Iqbal Abdulla,36,28,1,128.57142857142858
DPMD Jayawardene,J Botha,0,1,1,0.0
DPMD Jayawardene,J Syed Mohammad,3,3,0,100.0
DPMD Jayawardene,JA Morkel,29,20,3,145.0
DPMD Jayawardene,JD Ryder,0,3,0,0.0
DPMD Jayawardene,JD Unadkat,32,24,1,133.33333333333331
DPMD Jayawardene,JDP Oram,0,1,1,0.0
DPMD Jayawardene,JH Kallis,39,42,0,92.85714285714286
DPMD Jayawardene,JJ Bumrah,10,4,0,250.0
DPMD Jayawardene,JP Duminy,1,3,0,33.33333333333333
DPMD Jayawardene,JP Faulkner,1,2,0,50.0
DPMD Jayawardene,KA Pollard,21,18,0,116.66666666666667
DPMD Jayawardene,KK Cooper,10,4,0,250.0
DPMD Jayawardene,KP Appanna,1,1,0,100.0
DPMD Jayawardene,KW Richardson,6,6,0,100.0
DPMD Jayawardene,L Balaji,46,37,1,124.32432432432432
DPMD Jayawardene,LR Shukla,6,6,0,100.0
DPMD Jayawardene,M Kartik,31,25,0,124.0
DPMD Jayawardene,M Morkel,1,5,0,20.0
DPMD Jayawardene,M Muralitharan,31,19,3,163.1578947368421
DPMD Jayawardene,M Ntini,1,2,0,50.0
DPMD Jayawardene,MA Khote,7,2,0,350.0
DPMD Jayawardene,MC Henriques,17,11,0,154.54545454545453
DPMD Jayawardene,MF Maharoof,28,16,0,175.0
DPMD Jayawardene,MG Johnson,2,5,1,40.0
DPMD Jayawardene,MM Patel,28,29,2,96.55172413793103
DPMD Jayawardene,MM Sharma,2,6,0,33.33333333333333
DPMD Jayawardene,MR Marsh,11,6,0,183.33333333333331
DPMD Jayawardene,MS Gony,7,6,1,116.66666666666667
DPMD Jayawardene,Mohammad Asif,1,3,0,33.33333333333333
DPMD Jayawardene,Mohammad Hafeez,2,2,0,100.0
DPMD Jayawardene,NLTC Perera,4,3,0,133.33333333333331
DPMD Jayawardene,P Amarnath,1,2,0,50.0
DPMD Jayawardene,P Awana,18,24,0,75.0
DPMD Jayawardene,P Kumar,36,39,1,92.3076923076923
DPMD Jayawardene,P Parameswaran,0,1,1,0.0
DPMD Jayawardene,PD Collingwood,5,5,1,100.0
DPMD Jayawardene,PJ Sangwan,7,8,1,87.5
DPMD Jayawardene,PP Chawla,40,35,0,114.28571428571428
DPMD Jayawardene,PP Ojha,44,40,1,110.00000000000001
DPMD Jayawardene,PV Tambe,10,9,0,111.11111111111111
DPMD Jayawardene,Pankaj Singh,1,3,1,33.33333333333333
DPMD Jayawardene,R Ashwin,28,16,2,175.0
DPMD Jayawardene,R Bhatia,57,42,0,135.71428571428572
DPMD Jayawardene,R McLaren,8,3,0,266.66666666666663
DPMD Jayawardene,R Rampaul,10,8,0,125.0
DPMD Jayawardene,R Sathish,4,3,0,133.33333333333331
DPMD Jayawardene,R Sharma,14,10,0,140.0
DPMD Jayawardene,R Shukla,7,9,1,77.77777777777779
DPMD Jayawardene,R Vinay Kumar,9,13,0,69.23076923076923
DPMD Jayawardene,RA Jadeja,5,5,0,100.0
DPMD Jayawardene,RE van der Merwe,7,12,2,58.333333333333336
DPMD Jayawardene,RG Sharma,2,2,0,100.0
DPMD Jayawardene,RJ Harris,27,29,0,93.10344827586206
DPMD Jayawardene,RJ Peterson,5,4,1,125.0
DPMD Jayawardene,RP Singh,70,41,0,170.73170731707316
DPMD Jayawardene,S Ladda,10,4,0,250.0
DPMD Jayawardene,S Sreesanth,1,4,0,25.0
DPMD Jayawardene,S Tyagi,13,4,0,325.0
DPMD Jayawardene,SB Bangar,3,5,0,60.0
DPMD Jayawardene,SB Jakati,14,13,0,107.6923076923077
DPMD Jayawardene,SB Styris,10,4,0,250.0
DPMD Jayawardene,SC Ganguly,3,2,0,150.0
DPMD Jayawardene,SE Bond,22,16,0,137.5
DPMD Jayawardene,SJ Srivastava,14,11,0,127.27272727272727
DPMD Jayawardene,SK Raina,5,6,0,83.33333333333334
DPMD Jayawardene,SK Trivedi,31,27,2,114.81481481481481
DPMD Jayawardene,SK Warne,9,8,0,112.5
DPMD Jayawardene,SL Malinga,58,40,3,145.0
DPMD Jayawardene,SM Harwood,6,4,1,150.0
DPMD Jayawardene,SP Narine,15,16,0,93.75
DPMD Jayawardene,SR Tendulkar,5,4,0,125.0
DPMD Jayawardene,SR Watson,8,16,1,50.0
DPMD Jayawardene,ST Jayasuriya,1,2,1,50.0
DPMD Jayawardene,STR Binny,1,3,0,33.33333333333333
DPMD Jayawardene,SW Tait,21,11,0,190.9090909090909
DPMD Jayawardene,Sandeep Sharma,3,6,1,50.0
DPMD Jayawardene,Shahid Afridi,1,1,0,100.0
DPMD Jayawardene,Shakib Al Hasan,12,13,0,92.3076923076923
DPMD Jayawardene,Shoaib Ahmed,9,5,0,180.0
DPMD Jayawardene,Shoaib Malik,1,3,1,33.33333333333333
DPMD Jayawardene,TL Suman,18,8,1,225.0
DPMD Jayawardene,UT Yadav,8,6,0,133.33333333333331
DPMD Jayawardene,Umar Gul,0,3,1,0.0
DPMD Jayawardene,V Kohli,7,5,0,140.0
DPMD Jayawardene,V Sehwag,13,5,0,260.0
DPMD Jayawardene,VY Mahesh,1,2,0,50.0
DPMD Jayawardene,WD Parnell,11,11,1,100.0
DPMD Jayawardene,YK Pathan,32,34,1,94.11764705882352
DPMD Jayawardene,Z Khan,13,7,0,185.71428571428572
DR Martyn,A Kumble,4,8,1,50.0
DR Martyn,DW Steyn,2,3,0,66.66666666666666
DR Martyn,JH Kallis,7,10,0,70.0
DR Martyn,P Kumar,4,3,1,133.33333333333331
DR Martyn,R Vinay Kumar,2,2,0,100.0
DR Sams,A Nortje,0,1,0,0.0
DR Sams,Avesh Khan,3,2,0,150.0
DR Sams,CJ Jordan,0,1,0,0.0
DR Sams,DJ Bravo,0,1,1,0.0
DR Sams,Fazalhaq Farooqi,1,2,0,50.0
DR Sams,JJ Bumrah,0,2,1,0.0
DR Sams,JO Holder,1,1,0,100.0
DR Sams,KH Pandya,0,2,2,0.0
DR Sams,KR Sen,6,1,0,600.0
DR Sams,LH Ferguson,0,2,1,0.0
DR Sams,M Theekshana,5,2,0,250.0
DR Sams,Mukesh Choudhary,0,5,1,0.0
DR Sams,PJ Cummins,1,2,1,50.0
DR Sams,PVD Chameera,2,5,0,40.0
DR Sams,Ravi Bishnoi,3,3,1,100.0
DR Sams,SN Thakur,7,3,0,233.33333333333334
DR Sams,Simarjeet Singh,1,2,0,50.0
DR Sams,Umran Malik,1,4,1,25.0
DR Sams,Washington Sundar,13,6,0,216.66666666666666
DR Sams,YS Chahal,0,1,1,0.0
DR Shorey,AS Roy,2,7,1,28.57142857142857
DR Shorey,C de Grandhomme,1,5,1,20.0
DR Shorey,KH Pandya,1,1,0,100.0
DR Shorey,Mohammed Siraj,7,2,0,350.0
DR Shorey,RD Chahar,2,3,0,66.66666666666666
DR Shorey,UT Yadav,0,2,0,0.0
DR Smith,A Chandila,21,7,0,300.0
DR Smith,A Kumble,0,1,1,0.0
DR Smith,A Mishra,59,37,1,159.45945945945945
DR Smith,A Nehra,14,10,1,140.0
DR Smith,AB Dinda,15,10,1,150.0
DR Smith,AD Russell,7,9,0,77.77777777777779
DR Smith,AN Ahmed,1,4,0,25.0
DR Smith,AR Patel,31,24,2,129.16666666666669
DR Smith,AS Rajpoot,0,1,1,0.0
DR Smith,AS Raut,2,2,0,100.0
DR Smith,Ankit Sharma,41,27,1,151.85185185185185
DR Smith,Anureet Singh,0,1,1,0.0
DR Smith,Azhar Mahmood,3,6,0,50.0
DR Smith,B Geeves,10,4,0,250.0
DR Smith,B Kumar,45,45,3,100.0
DR Smith,BA Stokes,1,4,0,25.0
DR Smith,BCJ Cutting,13,10,1,130.0
DR Smith,BW Hilfenhaus,41,18,0,227.77777777777777
DR Smith,Bipul Sharma,4,6,0,66.66666666666666
DR Smith,CH Morris,34,30,0,113.33333333333333
DR Smith,CJ Anderson,2,4,0,50.0
DR Smith,CJ Jordan,9,6,0,150.0
DR Smith,D Wiese,17,7,0,242.85714285714283
DR Smith,DE Bollinger,3,3,0,100.0
DR Smith,DJ Bravo,12,5,1,240.0
DR Smith,DJ Hooda,10,4,0,250.0
